name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;oldrsa-runtime;oldrsa-result;oldrsa-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime;rsacpp-result;rsacpp-matchtime
0;0.14;False;0.07;False;0.1;False;0.14;False;0.07297169099999999;0.52;False;0.08010731999999998;0.07;False;0.05;False;0.2;False;ERR;ERR;ERR
1;0.01;False;0.01;False;0.01;False;0.38;False;0.07398291800000001;32.18;False;0.08522121700000085;0.07;False;ERR;ERR;0.03;False;ERR;ERR;ERR
2;0.01;False;0.01;False;0.0;False;0.24;False;0.20581565999999998;0.48;False;0.24777025300000002;0.06;False;0.08;False;0.05;False;ERR;ERR;ERR
3;ERR;ERR;0.01;True;0.01;True;ERR;ERR;ERR;TO;TO;TO;0.07;True;0.06;True;0.03;True;0.09;False;0.07732465118169785
4;0.01;False;0.01;False;0.01;False;0.39;False;0.15770388400000002;2.96;False;0.1958583840000001;0.07;False;0.04;False;0.04;False;ERR;ERR;ERR
5;0.02;False;0.01;False;0.02;False;ERR;ERR;ERR;TO;TO;TO;0.05;False;0.03;False;0.04;False;ERR;ERR;ERR
6;0.0;True;0.01;True;0.01;True;0.04;True;0.0006728800000000007;0.19;True;0.0013320400000000066;0.05;True;TO;TO;0.04;True;ERR;ERR;ERR
7;0.01;False;83.99;False;0.01;False;0.42;False;0.374651582;0.54;False;0.3843371379999999;12.21;False;60.25;False;TO;TO;0.13;False;0.12717733532190323
8;0.01;False;0.01;False;0.06;False;6.21;False;0.4194019519999994;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
9;0.01;False;0.0;False;0.0;False;0.02;False;1.637499999999903e-05;0.02;False;1.5824000000004557e-05;0.06;False;0.03;False;0.04;False;ERR;ERR;ERR
10;0.01;False;0.25;False;0.01;False;9.41;False;0.6114496350000005;TO;TO;TO;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
11;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;TO;TO;TO;0.07;False;0.06;False;0.04;False;ERR;ERR;ERR
12;0.0;False;0.09;False;0.01;False;1.61;False;0.14118522899999997;36.52;False;0.16517604900000293;0.08;False;0.04;False;0.33;False;0.04;True;0.0373725313693285
13;0.01;False;0.0;False;0.01;False;0.33;False;0.15807431900000002;1.18;False;0.16899186700000002;0.07;False;0.08;False;0.05;False;ERR;ERR;ERR
14;0.02;False;0.01;False;0.01;False;0.03;False;8.117200000000435e-05;0.02;False;8.774099999999535e-05;0.06;False;0.04;False;0.04;False;0.04;False;0.031023962423205376
15;1.3;True;0.0;True;0.02;True;0.19;True;0.131915425;0.37;True;0.151874313;0.06;True;0.05;False;0.03;True;ERR;ERR;ERR
16;0.01;False;0.01;False;0.01;False;0.18;False;0.153021876;0.24;False;0.184509149;0.05;False;0.06;False;0.03;False;ERR;ERR;ERR
17;0.0;True;0.0;True;0.01;True;0.45;True;0.30501079200000003;8.29;True;1.276607298;0.05;True;ERR;ERR;0.04;True;0.0;False;0.0020994972437620163
18;TO;TO;0.46;False;0.8;False;0.22;False;0.186809751;0.26;False;0.227570374;0.15;False;0.61;False;1.49;False;ERR;ERR;ERR
19;0.01;False;0.0;True;0.02;True;0.2;True;0.17503631;0.22;True;0.190815564;0.06;True;0.04;True;0.04;True;ERR;ERR;ERR
20;0.01;False;0.01;True;ERR;ERR;TO;TO;TO;TO;TO;TO;0.06;True;0.02;True;0.04;True;ERR;ERR;ERR
21;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;ERR;ERR;ERR;0.06;False;ERR;ERR;0.03;False;ERR;ERR;ERR
22;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR;TO;TO;TO;0.05;False;0.05;False;0.03;False;ERR;ERR;ERR
23;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR;TO;TO;TO;TO;TO;ERR;ERR;TO;TO;ERR;ERR;ERR
24;0.0;True;0.0;True;0.01;True;0.24;True;0.18461461599999998;0.39;True;0.184001096;0.05;True;0.06;True;0.03;True;ERR;ERR;ERR
25;0.0;False;0.01;True;0.01;True;0.88;True;0.20419813200000003;8.79;True;0.2825410829999999;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
26;ERR;ERR;0.0;False;0.01;False;0.3;False;0.138199328;2.04;False;0.15273965199999995;0.06;False;0.05;False;0.03;False;0.08;False;0.07632216811180115
27;0.01;False;0.01;False;0.01;False;0.58;False;0.243147795;TO;TO;TO;0.06;False;0.04;False;0.03;False;0.02;False;0.002254871651530266
28;0.01;False;0.01;False;0.01;False;0.55;False;0.00010477700000000034;48.63;False;0.00016867400000109;0.05;False;0.04;False;0.03;False;ERR;ERR;ERR
29;0.01;False;0.0;False;0.0;False;0.04;False;5.055600000000021e-05;0.19;False;8.362500000000384e-05;0.06;False;0.04;False;0.03;False;ERR;ERR;ERR
30;0.01;False;TO;TO;0.01;False;0.2;False;0.081144869;2.51;False;0.09431683899999976;TO;TO;5.67;False;66.76;False;ERR;ERR;ERR
31;0.01;False;0.02;False;0.02;False;0.03;False;0.0002874619999999953;0.03;False;0.00029606399999999866;0.06;False;0.1;False;0.06;False;ERR;ERR;ERR
32;ERR;ERR;0.01;False;0.01;False;1.25;False;0.0001837060000000612;12.73;False;0.00021256900000032886;0.05;False;0.04;False;0.04;False;0.04;False;0.03131620213389397
33;ERR;ERR;0.01;False;0.01;False;0.36;False;0.0015616640000000181;9.42;False;0.0019209730000007141;0.07;False;0.04;False;0.04;False;ERR;ERR;ERR
34;0.01;False;TO;TO;ERR;ERR;0.04;False;0.0004004110000000033;0.14;False;0.0006075219999999992;TO;TO;TO;TO;TO;TO;0.01;False;0.001957913860678673
35;0.01;False;0.01;False;ERR;ERR;0.05;False;0.0009610420000000092;0.05;False;0.0007165360000000037;0.07;False;0.08;False;0.04;False;ERR;ERR;ERR
36;91.66;True;0.0;True;0.0;True;0.28;True;0.257859166;0.42;True;0.335941969;0.06;True;6.06;False;0.04;True;ERR;ERR;ERR
37;ERR;ERR;0.01;True;0.01;True;0.15;True;0.08014462700000001;0.46;True;0.087837885;0.06;True;0.04;True;0.03;True;ERR;ERR;ERR
38;0.01;False;0.01;False;0.0;False;0.02;False;2.0460999999999396e-05;0.26;False;3.773600000001043e-05;0.06;False;0.03;False;0.03;False;ERR;ERR;ERR
39;ERR;ERR;0.01;False;0.01;False;0.8;False;0.14841755499999998;19.32;False;0.1658515230000006;0.07;False;0.03;False;0.05;False;ERR;ERR;ERR
40;ERR;ERR;0.01;False;0.01;False;0.33;False;0.18560605399999996;2.04;False;0.19563290500000008;0.06;False;0.05;False;0.04;False;ERR;ERR;ERR
41;ERR;ERR;TO;TO;0.01;False;0.06;False;0.0007387690000000002;0.32;False;0.0008009620000000162;TO;TO;TO;TO;TO;TO;ERR;ERR;ERR
