name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime;oldrsa-runtime;oldrsa-result;oldrsa-matchtime;js-runtime;js-result;java-runtime;java-result;net-runtime;net-result;rsacpp-runtime;rsacpp-result;rsacpp-matchtime
0;0.0;True;0.0;False;0.01;False;1.1;False;0.25858690799999995;6.93;False;0.2791858979999997;0.07;False;0.05;False;0.04;False;ERR;ERR;ERR
1;0.01;True;0.3;False;0.01;False;2.17;False;0.30003744599999993;4.55;False;0.3342871650000001;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
2;0.01;True;0.01;False;0.01;False;2.11;False;0.341743436;4.16;False;0.3908724189999999;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
3;0.01;True;5.95;False;0.01;False;0.15;False;0.11086195299999999;0.35;False;0.211504337;0.87;False;0.06;False;10.65;False;0.07;False;0.06279000081121922
4;0.01;True;0.01;False;0.02;False;0.21;False;0.17045247000000002;0.68;False;0.19428486099999998;0.06;False;0.05;False;0.03;False;ERR;ERR;ERR
5;ERR;ERR;0.01;False;0.01;False;0.07;False;7.866800000000396e-05;12.51;False;0.00013185799999959613;0.07;False;0.04;False;0.02;False;ERR;ERR;ERR
6;0.02;True;0.01;False;0.01;False;0.03;False;1.4823000000004083e-05;0.03;False;2.088100000000037e-05;0.06;False;0.03;False;0.05;False;ERR;ERR;ERR
7;0.01;True;TO;TO;0.0;False;1.29;False;0.2504329500000001;50.92;False;3.654371790000006;TO;TO;TO;TO;TO;TO;0.02;False;0.015937218442559242
8;0.01;True;0.27;False;0.0;False;0.17;False;0.067571845;0.71;False;0.07560603399999999;0.1;False;0.04;False;0.65;False;ERR;ERR;ERR
9;0.01;True;70.19;False;0.01;False;0.13;False;0.059454961;0.52;False;0.06593158299999996;16.03;False;0.3;False;TO;TO;ERR;ERR;ERR
10;0.01;True;0.01;False;0.01;False;0.5;False;0.172137408;4.23;False;0.19421135000000023;0.05;False;0.03;False;0.04;False;ERR;ERR;ERR
11;0.01;True;TO;TO;0.01;False;0.14;False;0.063402067;0.37;False;0.171948215;TO;TO;0.64;False;TO;TO;ERR;ERR;ERR
